大渡口  0  天泰钢城印象  3室1厅  120.6平米  0  东南  低楼层(共32层)  2018年建  0  1人关注  今天发布  142万  11775元/平米  天泰钢城印象，3室1厅，东南  
渝北  0  香居美舍  2室1厅  58.24平米  0  东  低楼层(共18层)  2011年建  0  9人关注  7天前发布  80万  13737元/平米  居家装修，家电齐全，出行方便，业主诚售  
大渡口  0  融创春晖十里雍和府  2室1厅  82.12平米  0  东南  低楼层(共32层)  0  0  0人关注  今天发布  119万  14491元/平米  融创品质小区，户型方正，视野开阔采光好，住家安静  
大渡口  0  融创春晖十里雍和府  3室1厅  82平米  0  东南  低楼层(共34层)  0  0  0人关注  2天前发布  119.8万  14610元/平米  户型方正，，采光佳，无浪费面积  
渝北  0  龙湖佰乐街  3室1厅  89.76平米  0  北  中楼层(共28层)  2017年建  0  1人关注  今天发布  175万  19497元/平米  龙湖品质，次新小区，精装3房，双轻轨，出行便捷。  
渝北  0  保利香槟花园F组团  2室1厅  57.94平米  0  北  中楼层(共28层)  2008年建  0  0人关注  今天发布  113万  19503元/平米  楼层好，视野开阔，精装修，配套完善，价格带车库  
渝北  0  汇祥林里3000四期  2室2厅  81.09平米  0  东  低楼层(共30层)  0  0  0人关注  今天发布  158万  19485元/平米  汇祥林里3000四期，2室2厅，东  
渝北  0  上品拾陆  2室1厅  84.41平米  0  东北  高楼层(共37层)  2008年建  0  0人关注  今天发布  125万  14809元/平米  上品拾陆，2室1厅，东北  
渝中  0  大坪正街116号  2室1厅  59平米  0  南  中楼层(共8层)  0  0  0人关注  2天前发布  75万  12712元/平米  位置好交通方便，配套十分成熟。  
江北  0  首创鸿恩国际生活区  3室1厅  83.23平米  0  西  中楼层(共28层)  2012年建  0  1人关注  今天发布  142万  17062元/平米  首创生活区三室，背靠鸿恩寺公园，中间楼层朝中庭  
沙坪坝  0  西永9号  2室1厅  84平米  0  南  低楼层(共30层)  2019年建  0  0人关注  今天发布  120万  14286元/平米  西永9号，2室1厅，南  
沙坪坝  0  金科廊桥水乡D区  2室1厅  75.69平米  0  南  中楼层(共18层)  2011年建  0  0人关注  今天发布  100万  13212元/平米  金科廊桥水乡小高层，位置安静，视野开阔，采光充足。  
大渡口  0  东海阿特豪斯  3室2厅  121平米  0  北  中楼层(共33层)  2012年建  0  0人关注  2天前发布  190万  15703元/平米  东海阿特豪斯，3室2厅，北  
大渡口  0  东海阿特豪斯  2室2厅  92平米  0  东  中楼层(共33层)  2012年建  0  0人关注  2天前发布  132万  14348元/平米  东海阿特豪斯，2室2厅，东  
大渡口  0  中交香悦岭  2室1厅  75.89平米  0  东  低楼层(共27层)  2013年建  0  0人关注  2天前发布  100万  13177元/平米  中交香悦岭精装两房，配套齐全拎包入住，户型方正采光好  
渝北  0  青河世家  3室1厅  126.7平米  0  东  低楼层(共31层)  2009年建  0  0人关注  今天发布  170万  13418元/平米  汽博精装三房，，保养好，，业主诚心出售  
渝北  0  融科海阔天空  4室1厅  125平米  0  南  高楼层(共33层)  2011年建  0  0人关注  今天发布  230万  18400元/平米  海阔天空精装四房，交通便利居家舒适  
渝北  0  中国摩  3室2厅  84.47平米  0  东  高楼层(共26层)  0  0  0人关注  今天发布  110万  13023元/平米  中国摩，3室2厅，东  
渝北  0  青河世家  2室1厅  89.01平米  0  东  低楼层(共25层)  2009年建  0  0人关注  今天发布  115万  12920元/平米  青河世家，正规两房，户型采光好，视野佳  
南岸  0  亚太商谷  2室1厅  58.4平米  0  南  中楼层(共32层)  2011年建  0  0人关注  今天发布  85万  14555元/平米  亚太商谷，2室1厅，南  
渝中  0  协信阿卡迪亚  2室1厅  97平米  0  南  高楼层(共30层)  2010年建  0  0人关注  2天前发布  150万  15464元/平米  户型方正，视野开阔，住家环境舒适  
渝中  0  雍江苑  3室1厅  124平米  0  东北  高楼层(共31层)  2009年建  0  0人关注  3天前发布  270万  21775元/平米  重庆天地，雍江苑，正规三房，采光好，视野开阔，住家装修  
渝中  0  英利国际广场  2室1厅  59.7平米  0  东南  中楼层(共44层)  2012年建  0  0人关注  4天前发布  131万  21944元/平米  英利国际广场，2室1厅，东南  
江北  0  茂业大厦  1室0厅  57.6平米  0  南  高楼层(共36层)  2007年建  0  0人关注  今天发布  61万  10591元/平米  小户型近轻轨，观音桥步行街，总价低  
江北  0  曦城  2室1厅  71平米  0  东南  高楼层(共19层)  0  0  1人关注  今天发布  103万  14508元/平米  双轻轨房，朝向中庭，住家精装修，可直接拎包入住  
江北  0  阳光花城  2室1厅  69.22平米  0  北  中楼层(共34层)  2010年建  0  1人关注  今天发布  85万  12280元/平米  南桥寺，轻轨口，正规两房，永辉总部，交通便利  
江北  0  保利香雪  2室1厅  81平米  0  南  高楼层(共32层)  2013年建  0  1人关注  今天发布  150万  18519元/平米  优质两房清水，采光好，视野开阔  
沙坪坝  0  羲城蓝湾  4室1厅  120平米  0  东  高楼层(共27层)  2012年建  0  0人关注  今天发布  125.1万  10425元/平米  清水三房，，业主诚心出售，，，满两年  
沙坪坝  0  金科廊桥水乡E区  2室1厅  70.56平米  0  南  中楼层(共18层)  2011年建  0  0人关注  今天发布  85万  12047元/平米  金科廊桥水乡E区，2室1厅，南  
沙坪坝  0  万科金色悦城二期  4室1厅  117.87平米  0  北  高楼层(共26层)  2015年建  0  0人关注  今天发布  215万  18241元/平米  万科品质，，精装四房，，开发商接房标准  
沙坪坝  0  重庆融创万达文化旅游城御林  3室2厅  83.01平米  0  东南  低楼层(共32层)  2018年建  0  0人关注  今天发布  130万  15661元/平米  重庆高新区，550亩融创大盘，游乐场，商场，456级酒店  
大渡口  0  融创春晖十里  3室1厅  94.78平米  0  南  低楼层(共34层)  2018年建  0  0人关注  2天前发布  136万  14350元/平米  临万达，天街，靠古镇，安静宜居校园林立书香气息浓  
大渡口  0  金科星辰三期  3室2厅  85平米  0  南  高楼层(共18层)  0  0  8人关注  3天前发布  130万  15295元/平米  金科品质楼盘，方正户型，配套齐全，出行方便  
